NR_SECAO,escore,votos,local
204.0,6.80754716981132,265.0,CENTRO EDUCACIONAL SESI
171.0,6.807512195121952,205.0,EE.PROFª ANESIA MARTINS MATOS -EF
189.0,6.795066666666667,150.0,EMEB MARIA DE LOURDES TEIXEIRA
16.0,6.774363636363636,110.0,UNIFEOB CAMPUS MANTIQUEIRA
161.0,6.763759689922481,258.0,EMEIF JOSÉ INÁCIO DINIZ
145.0,6.752428571428571,210.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
156.0,6.701388888888889,252.0,EMEIF SARAH SALOMÃO
193.0,6.671638655462186,238.0,EMEIF JOSÉ INÁCIO DINIZ
39.0,6.664269662921348,178.0,EE DR.TEÓFILO DE ANDRADE - EF
134.0,6.649506172839506,162.0,EE MONSENHOR ANTONIO DAVID - E.F.
149.0,6.626470588235295,255.0,EE PROFª TEREZINHA DOMINICHELLI ROSSI / EUGENIO CIACCO
110.0,6.624584980237154,253.0,EMEIF JOSÉ INÁCIO DINIZ
35.0,6.589745222929936,157.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
107.0,6.577730061349692,163.0,EE CEL CRISTIANO OSÓRIO DE OLIVEIRA - EM
146.0,6.577543859649123,114.0,UNIFEOB CAMPUS MANTIQUEIRA
297.0,6.571651785714286,224.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
67.0,6.549052631578947,190.0,EE. PROF.FRANCISCO DIAS PASCHOAL -EF
124.0,6.53890909090909,110.0,EMEB MARIA DE LOURDES TEIXEIRA
181.0,6.514285714285713,112.0,EMEB MARIA DE LOURDES TEIXEIRA
22.0,6.486309523809524,168.0,UNIFAE - FACULDADES ASSOCIADAS DE ENSINO
163.0,6.4714285714285715,147.0,EE PROFª TEREZINHA DOMINICHELLI ROSSI / EUGENIO CIACCO
144.0,6.466838709677419,155.0,COLÉGIO EL SHADAI
197.0,6.450114942528735,174.0,EMEIF JOSÉ PERES CASTELHANO
207.0,6.44472972972973,148.0,CENTRO EDUCACIONAL SESI
58.0,6.382644628099174,121.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
13.0,6.348961038961039,77.0,UNIFEOB CAMPUS MANTIQUEIRA
127.0,6.332083333333333,96.0,EE PROFºJOSÉ NOGUEIRA DE BARROS -EF
295.0,6.3320454545454545,176.0,NOVA EMEB ANTONIO SANTOS CABRAL - RESEDÁS
158.0,6.321136363636364,176.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
168.0,6.253684210526316,152.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
75.0,6.250264900662251,151.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
206.0,6.241338582677165,127.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
205.0,6.2004166666666665,96.0,EE.PROFª ANESIA MARTINS MATOS -EF
9.0,6.168488372093023,86.0,UNIFEOB CAMPUS MANTIQUEIRA
142.0,6.1007801418439715,141.0,EE MARIA LEONOR ALVAREZ E SILVA - EF
60.0,6.012199999999999,150.0,EE PADRE JOSUÉ SILVEIRA DE MATOS -EF-EM
176.0,5.3096000000000005,75.0,EE PROFª TEREZINHA DOMINICHELLI ROSSI / EUGENIO CIACCO
84.0,5.032203389830508,59.0,EE PROFºJOSÉ NOGUEIRA DE BARROS -EF
72.0,3.9200000000000004,40.0,EE PROFº VIRGÍLIO MARCONDES DE CASTRO-EF-EM
182.0,3.9200000000000004,47.0,E.E- PROFª ISAURA TEIXEIRA VASCONCELLOS
131.0,3.9200000000000004,38.0,EE DOMINGOS TEODORO DE OLIVEIRA AZEVEDO - EF-EM
43.0,3.92,24.0,EE DR.TEÓFILO DE ANDRADE - EF
169.0,3.92,39.0,EMEIF JOSÉ PERES CASTELHANO
