nr_zona,esq_2012,esq_2024,variacao_pct,nome_ze,indice_cultural,escore_ver_2024,escore_pref_2024,pct_superior,renda_2010,quadrante
326,21134.0,24099.0,14.029525882464275,ERMELINO MATARAZZO,0.0,6.291523904486463,5.756944969677969,8.82981018183752,745.5187096774195,Q4: baixo sup + baixo índice
403,25944.0,25491.0,-1.7460684551341352,JARAGUA,0.0,6.211066529675966,5.652446673578885,7.480240994100295,685.1956,Q4: baixo sup + baixo índice
373,23838.0,26335.0,10.474872053024582,CAPAO REDONDO,0.0,6.347104967783526,5.471791558216997,6.514536759680993,693.4303571428571,Q4: baixo sup + baixo índice
405,23010.0,19445.0,-15.493263798348544,CONJUNTO JOSE BONIFACIO,0.0,6.154738912679478,5.57444992679768,6.000999550519577,692.2968181818183,Q4: baixo sup + baixo índice
375,57817.0,36424.0,-37.00122801252227,SAO MATEUS,0.0,5.905232807171842,5.491364186091028,5.676884585342537,640.6005882352941,Q4: baixo sup + baixo índice
376,46761.0,28896.0,-38.204914351703344,BRASILANDIA,0.0,6.238772821406363,5.710952337502903,5.632738727258332,679.5564150943396,Q4: baixo sup + baixo índice
381,47358.0,37523.0,-20.767346594028464,PARELHEIROS,0.0,6.275045045387889,5.619340638532005,4.93365179263635,552.4363636363636,Q4: baixo sup + baixo índice
389,43579.0,24401.0,-44.0074347736295,PERUS,0.0,6.2044905703130455,5.663876407249048,4.845994514802424,659.566,Q4: baixo sup + baixo índice
421,37025.0,28245.0,-23.713706954760298,TEOTONIO VILELA,0.0,6.246164754503968,5.645734207018333,4.609848066981215,662.5577777777778,Q4: baixo sup + baixo índice
371,38480.0,41346.0,7.448024948024948,GRAJAU,0.0,6.044266945567359,5.557885337381026,4.362642175155305,649.8374418604652,Q4: baixo sup + baixo índice
352,54609.0,32282.0,-40.88520207291838,ITAIM PAULISTA,0.0,6.217344495705957,5.699804405407971,4.227088928521529,562.5159090909091,Q4: baixo sup + baixo índice
20,27381.0,31374.0,14.583105072860745,VALO VELHO,0.0,6.147970629255886,5.347509410917575,3.918099938883051,577.7063888888889,Q4: baixo sup + baixo índice
397,38526.0,34441.0,-10.60322898821575,JARDIM HELENA,0.0,6.185535552236683,5.686049868659014,3.4659544984451776,549.6619354838709,Q4: baixo sup + baixo índice
404,47544.0,40587.0,-14.63276123170116,CIDADE TIRADENTES,0.0,5.907342538259868,5.426210120451714,3.056606702792656,511.76024390243896,Q4: baixo sup + baixo índice
353,45376.0,33608.0,-25.93441466854725,GUAIANASES,0.0,6.124717485457477,5.591809550404915,3.0018571711544304,556.1379545454546,Q4: baixo sup + baixo índice
