sq_candidato,nome,partido,situacao,votos,receita_total,receita_2024,custo_por_voto,bloco,cargo,ano,escopo,arquetipo,eficiencia,custo_voto
250000651026,DRA SANDRA TADEU,DEM,ELEITO 1T,28464,731796.5,936699.52,32.90821810005621,DIREITA,Vereador,2020,SP_CAPITAL,Profissional,30.387546264569455,32.90821810005621
250000651028,RICARDO TEIXEIRA,DEM,ELEITO 1T,23280,353418.51,452375.6928,19.43194556701031,DIREITA,Vereador,2020,SP_CAPITAL,Outros,51.46165094748433,19.43194556701031
250000651049,MILTON LEITE,DEM,ELEITO 1T,132716,2570274.15,3289950.912,24.78940679345369,DIREITA,Vereador,2020,SP_CAPITAL,Outros,40.33981161114662,24.78940679345369
250000651052,ADILSON AMADEU,DEM,ELEITO 1T,30549,655503.95,839045.056,27.465548986873547,DIREITA,Vereador,2020,SP_CAPITAL,Outros,36.40924856364329,27.465548986873547
250000658736,FERNANDO HOLIDAY,PATRIOTA,ELEITO 1T,67715,186836.48,239150.6944,3.5317240552314844,DIREITA,Vereador,2020,SP_CAPITAL,Outros,283.14782932112615,3.531724055231485
250000658737,MARLON DO UBER,PATRIOTA,ELEITO 1T,25643,8913.01,11408.6528,0.4449032016534727,DIREITA,Vereador,2020,SP_CAPITAL,Outros,2247.679936407566,0.4449032016534727
250000658745,RUBINHO NUNES,PATRIOTA,ELEITO 1T,33038,250608.02,320778.2656,9.709373012894243,DIREITA,Vereador,2020,SP_CAPITAL,Outros,102.99326214699754,9.709373012894243
250000686837,SILVIA DA BANCADA FEMINISTA,PSOL,ELEITO 1T,46267,124982.37,159977.4336,3.4577005986988563,ESQUERDA,Vereador,2020,SP_CAPITAL,Coletivo/Mandata,289.2095401135376,3.4577005986988563
250000686838,ERIKA HILTON,PSOL,ELEITO 1T,50508,97621.34,124955.3152,2.473970761067553,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,404.20849580634723,2.4739707610675534
250000686842,LUANA ALVES,PSOL,ELEITO 1T,37550,120321.82,154011.9296,4.101516101198402,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,243.8122819285812,4.101516101198402
250000686853,TONINHO VESPOLI,PSOL,ELEITO 1T,26748,299841.46,383797.0688,14.348626768356512,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,69.69308046992566,14.348626768356512
250000686857,CELSO GIANNAZI,PSOL,ELEITO 1T,28535,248499.79,318079.73120000004,11.147003020851589,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,89.71021162633578,11.147003020851587
250000686862,ELAINE DO QUILOMBO PERIFÉRICO,PSOL,ELEITO 1T,22742,230980.76,295655.3728,13.000412136135784,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,76.92063832502758,13.000412136135784
250000688220,CRIS MONTEIRO,NOVO,ELEITO 1T,18085,360185.71,461037.7088,25.49282326790157,DIREITA,Vereador,2020,SP_CAPITAL,Outros,39.22672626296029,25.492823267901578
250000688246,JANAÍNA LIMA,NOVO,ELEITO 1T,30931,964237.48,1234223.9744,39.9024918172707,DIREITA,Vereador,2020,SP_CAPITAL,Outros,25.061091537325435,39.9024918172707
250000706751,ROBERTO TRIPOLI,PV,ELEITO 1T,46219,622824.0,797214.72,17.248636275124948,CENTRO,Vereador,2020,SP_CAPITAL,Outros,57.97559784144478,17.248636275124948
250000707285,FARIA DE SÁ,PP,ELEITO 1T,34213,573430.0,733990.4,21.453552743109345,DIREITA,Vereador,2020,SP_CAPITAL,Outros,46.612326264757684,21.453552743109345
250000754045,RINALDI DIGILIO,PSL,ELEITO 1T,13673,171939.0,220081.92,16.096095955532803,DIREITA,Vereador,2020,SP_CAPITAL,Outros,62.1268662141806,16.096095955532803
250000789456,SENIVAL MOURA,PT,ELEITO 1T,25311,285460.59,365389.55520000006,14.435998388052628,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,69.27127401369134,14.435998388052628
250000789460,JAIR TATTO,PT,ELEITO 1T,29918,200546.67,256699.7376,8.580110221271475,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,116.54861933135065,8.580110221271475
250000789472,ALFREDINHO,PT,ELEITO 1T,25159,308312.60000000003,394640.128,15.685843157518184,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,63.75175309085649,15.685843157518185
250000789479,ARSELINO TATTO,PT,ELEITO 1T,25021,191455.64,245063.2192,9.79430155469406,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,102.10018493056668,9.794301554694057
250000789495,ALESSANDRO GUEDES,PT,ELEITO 1T,31124,318497.6,407676.928,13.098474746176583,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,76.34476680515017,13.098474746176585
250000789502,EDUARDO SUPLICY,PT,ELEITO 1T,167552,236633.26,302890.5728,1.807740718105424,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,553.1766751639224,1.8077407181054241
250000789503,DONATO,PT,ELEITO 1T,31920,709115.41,907667.7248,28.435705664160405,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,35.16705411887749,28.4357056641604
250000789522,JULIANA CARDOSO,PT,ELEITO 1T,28402,479243.19,613431.2832000001,21.59817207238927,ESQUERDA,Vereador,2020,SP_CAPITAL,Outros,46.30021451113369,21.59817207238927
250000811381,DR MILTON FERREIRA,PODE,ELEITO 1T,20126,460958.15,590026.432,29.31662685083971,DIREITA,Vereador,2020,SP_CAPITAL,Profissional,34.11033626371505,29.31662685083971
